naca,camber,camber_position,thickness,alpha_deg,reynolds,cl,cd,cm,source_file
NACA 0006,0.0,0.0,0.06,-6.0,500000.0,-0.6388,0.02046,-0.0057,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,-5.0,500000.0,-0.5412,0.01369,-0.0027,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,-4.0,500000.0,-0.4408,0.01057,-0.0004,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,-3.0,500000.0,-0.3405,0.00812,0.0015,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,-2.0,500000.0,-0.2451,0.00559,0.0036,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,-1.0,500000.0,-0.1481,0.00473,0.0082,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,0.0,500000.0,0.0,0.00477,-0.0,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,1.0,500000.0,0.1481,0.00473,-0.0082,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,2.0,500000.0,0.2451,0.00559,-0.0036,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,3.0,500000.0,0.3404,0.00812,-0.0015,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,4.0,500000.0,0.4408,0.01057,0.0004,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,5.0,500000.0,0.5412,0.01369,0.0027,T1-Re0.500-N9.0.txt
NACA 0006,0.0,0.0,0.06,6.0,500000.0,0.6371,0.02395,0.0071,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,-5.0,500000.0,-0.5601,0.01118,0.001,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,-4.0,500000.0,-0.4641,0.00937,0.0038,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,-3.0,500000.0,-0.3692,0.00744,0.0062,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,-2.0,500000.0,-0.2706,0.00615,0.0082,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,-1.0,500000.0,-0.1417,0.00536,0.0048,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,0.0,500000.0,-0.0,0.00521,0.0,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,1.0,500000.0,0.1417,0.00536,-0.0048,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,2.0,500000.0,0.2706,0.00615,-0.0082,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,3.0,500000.0,0.3692,0.00744,-0.0062,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,4.0,500000.0,0.4641,0.00937,-0.0038,T1-Re0.500-N9.0.txt
NACA 0008,0.0,0.0,0.08,5.0,500000.0,0.5601,0.01118,-0.001,T1-Re0.500-N9.0.txt
