file,naca,reynolds
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0006/T1-Re0.500-N9.0.txt","NACA 0006",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0008/T1-Re0.500-N9.0.txt","NACA 0008",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0009/T1-Re0.500-N9.0.txt","NACA 0009",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0010/T1-Re0.500-N9.0.txt","NACA 0010",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0012/T1-Re0.500-N9.0.txt","NACA 0012",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0015/T1-Re0.500-N9.0.txt","NACA 0015",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0018/T1-Re0.500-N9.0.txt","NACA 0018",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0021/T1-Re0.500-N9.0.txt","NACA 0021",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 0024/T1-Re0.500-N9.0.txt","NACA 0024",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 1408/T1-Re0.500-N9.0.txt","NACA 1408",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 1410/T1-Re0.500-N9.0.txt","NACA 1410",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 1412/T1-Re0.500-N9.0.txt","NACA 1412",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2408/T1-Re0.500-N9.0.txt","NACA 2408",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2410/T1-Re0.500-N9.0.txt","NACA 2410",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2412/T1-Re0.500-N9.0.txt","NACA 2412",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2414/T1-Re0.500-N9.0.txt","NACA 2414",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2415/T1-Re0.500-N9.0.txt","NACA 2415",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2418/T1-Re0.500-N9.0.txt","NACA 2418",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2421/T1-Re0.500-N9.0.txt","NACA 2421",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 2424/T1-Re0.500-N9.0.txt","NACA 2424",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 4412/T1-Re0.500-N9.0.txt","NACA 4412",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 4415/T1-Re0.500-N9.0.txt","NACA 4415",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 4418/T1-Re0.500-N9.0.txt","NACA 4418",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 4421/T1-Re0.500-N9.0.txt","NACA 4421",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 4424/T1-Re0.500-N9.0.txt","NACA 4424",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 6409/T1-Re0.500-N9.0.txt","NACA 6409",500000
"aerosurrogate_flow5_re500000/Foil_polars/NACA 6412/T1-Re0.500-N9.0.txt","NACA 6412",500000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0006/T1-Re1.000-N9.0.txt","NACA 0006",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0008/T1-Re1.000-N9.0.txt","NACA 0008",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0009/T1-Re1.000-N9.0.txt","NACA 0009",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0010/T1-Re1.000-N9.0.txt","NACA 0010",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0012/T1-Re1.000-N9.0.txt","NACA 0012",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0015/T1-Re1.000-N9.0.txt","NACA 0015",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0018/T1-Re1.000-N9.0.txt","NACA 0018",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0021/T1-Re1.000-N9.0.txt","NACA 0021",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 0024/T1-Re1.000-N9.0.txt","NACA 0024",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 1408/T1-Re1.000-N9.0.txt","NACA 1408",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 1410/T1-Re1.000-N9.0.txt","NACA 1410",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 1412/T1-Re1.000-N9.0.txt","NACA 1412",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2408/T1-Re1.000-N9.0.txt","NACA 2408",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2410/T1-Re1.000-N9.0.txt","NACA 2410",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2412/T1-Re1.000-N9.0.txt","NACA 2412",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2414/T1-Re1.000-N9.0.txt","NACA 2414",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2415/T1-Re1.000-N9.0.txt","NACA 2415",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2418/T1-Re1.000-N9.0.txt","NACA 2418",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2421/T1-Re1.000-N9.0.txt","NACA 2421",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 2424/T1-Re1.000-N9.0.txt","NACA 2424",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 4412/T1-Re1.000-N9.0.txt","NACA 4412",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 4415/T1-Re1.000-N9.0.txt","NACA 4415",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 4418/T1-Re1.000-N9.0.txt","NACA 4418",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 4421/T1-Re1.000-N9.0.txt","NACA 4421",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 4424/T1-Re1.000-N9.0.txt","NACA 4424",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 6409/T1-Re1.000-N9.0.txt","NACA 6409",1000000
"aerosurrogate_flow5_re1000000/Foil_polars/NACA 6412/T1-Re1.000-N9.0.txt","NACA 6412",1000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0006/T1-Re2.000-N9.0.txt","NACA 0006",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0008/T1-Re2.000-N9.0.txt","NACA 0008",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0009/T1-Re2.000-N9.0.txt","NACA 0009",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0010/T1-Re2.000-N9.0.txt","NACA 0010",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0012/T1-Re2.000-N9.0.txt","NACA 0012",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0015/T1-Re2.000-N9.0.txt","NACA 0015",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0018/T1-Re2.000-N9.0.txt","NACA 0018",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0021/T1-Re2.000-N9.0.txt","NACA 0021",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 0024/T1-Re2.000-N9.0.txt","NACA 0024",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 1408/T1-Re2.000-N9.0.txt","NACA 1408",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 1410/T1-Re2.000-N9.0.txt","NACA 1410",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 1412/T1-Re2.000-N9.0.txt","NACA 1412",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2408/T1-Re2.000-N9.0.txt","NACA 2408",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2410/T1-Re2.000-N9.0.txt","NACA 2410",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2412/T1-Re2.000-N9.0.txt","NACA 2412",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2414/T1-Re2.000-N9.0.txt","NACA 2414",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2415/T1-Re2.000-N9.0.txt","NACA 2415",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2418/T1-Re2.000-N9.0.txt","NACA 2418",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2421/T1-Re2.000-N9.0.txt","NACA 2421",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 2424/T1-Re2.000-N9.0.txt","NACA 2424",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 4412/T1-Re2.000-N9.0.txt","NACA 4412",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 4415/T1-Re2.000-N9.0.txt","NACA 4415",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 4418/T1-Re2.000-N9.0.txt","NACA 4418",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 4421/T1-Re2.000-N9.0.txt","NACA 4421",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 4424/T1-Re2.000-N9.0.txt","NACA 4424",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 6409/T1-Re2.000-N9.0.txt","NACA 6409",2000000
"aerosurrogate_flow5_re2000000/Foil_polars/NACA 6412/T1-Re2.000-N9.0.txt","NACA 6412",2000000
